state	year	so2	pcinc
1	29	0.09721	2285.1
1	30	0.0869	1948.148
1	31	0.07322	1815.182
1	32	0.06295	1490.159
1	33	0.06989	1600
1	34	0.06778	1865.471
1	35	0.06952	1867.365
1	36	0.07547	2141.015
1	37	0.07785	2192.691
1	38	0.06494	2025.316
1	39	0.06929	2099.915
1	40	0.07315	2583.612
1	41	0.08281	2874.903
1	42	0.09019	3620.934
1	43	0.10365	4224.53
1	44	0.10888	4533.086
1	45	0.10656	4651.163
1	46	0.09676	4049.676
1	47	0.10293	3908.158
1	48	0.0966	4083.333
1	49	0.08974	3874.419
1	50	0.08837	4136.364
1	51	0.0714	4480.687
1	52	0.12936	4634.454
1	53	0.12045	4869.748
1	54	0.19606	4674.897
1	55	0.13038	5137.652
1	56	0.12608	5357.143
1	57	0.13139	5434.615
1	58	0.14789	5518.939
1	59	0.1458	5618.519
1	60	0.1367	5618.182
1	61	0.1259	5671.48
1	62	0.13967	5847.518
1	63	0.16149	6080.42
1	64	0.18375	6415.808
1	65	0.21023	6757.576
1	66	0.23907	7009.804
1	67	0.22866	7235.669
1	68	0.25018	7614.679
1	69	0.2556	7985.337
1	70	0.26523	8255.618
1	71	0.27015	8459.893
1	72	0.29733	8951.031
1	73	0.34991	9475.61
1	74	0.31092	9420.354
1	75	0.28793	9527.607
1	76	0.26138	10017.37
1	77	0.24641	10232.85
1	78	0.20111	10653.2
1	79	0.20255	10833.08
1	80	0.19231	10722.69
1	81	0.19922	10853.47
1	82	0.18762	10772.51
1	83	0.18234	10916.47
1	84	0.18899	11458.71
1	85	0.18607	11788.4
1	86	0.18555	12153.13
1	87	0.18056	12287
1	88	0.17549	12524.95
1	89	0.19114	12778.59
1	90	0.18518	12970.41
1	91	0.18283	13042.61
1	92	0.18259	13377.33
1	93	0.18585	13510.27
1	94	0.17541	13863.11
4	29	1.42111	4233.524
4	30	1.31582	3792.593
4	31	1.21658	3481.848
4	32	1.11033	2952.202
4	33	1.01866	2936.585
4	34	0.8972	3183.857
4	35	0.78348	3568.935
4	36	0.91658	3912.296
4	37	1.04205	4119.601
4	38	1.15444	3957.806
4	39	1.24773	4064.352
4	40	1.30574	4632.107
4	41	1.33372	4879.565
4	42	1.24658	6400.283
4	43	1.00654	6437.378
4	44	1.08064	6444.032
4	45	1.13443	6672.63
4	46	1.2392	5977.322
4	47	1.32321	5735.222
4	48	1.38252	6092.593
4	49	1.47741	6027.907
4	50	1.52337	6172.727
4	51	1.49552	6922.747
4	52	1.41403	7176.471
4	53	1.35598	7193.277
4	54	1.31545	6954.733
4	55	1.26909	7060.729
4	56	1.22538	7301.587
4	57	1.18234	7246.154
4	58	1.1509	7098.485
4	59	1.11772	7281.481
4	60	1.09353	7447.273
4	61	1.08493	7555.957
4	62	1.09312	7638.298
4	63	1.11131	7660.839
4	64	1.13862	7890.034
4	65	1.16977	8094.276
4	66	1.19072	8434.641
4	67	1.21226	8754.777
4	68	1.22756	9440.367
4	69	1.22926	10079.18
4	70	1.23151	10609.55
4	71	1.05714	10858.29
4	72	0.96356	11360.82
4	73	0.89388	11792.68
4	74	0.72987	11550.88
4	75	0.59728	11036.81
4	76	0.55016	11380.31
4	77	0.48175	11613.72
4	78	0.35876	12383.84
4	79	0.31838	12879.44
4	80	0.27608	12985.99
4	81	0.26231	13174.81
4	82	0.24063	12744.53
4	83	0.22816	13025.52
4	84	0.22997	13709.82
4	85	0.21926	14199.79
4	86	0.16136	14572.92
4	87	0.09524	14524
4	88	0.10058	14453.93
4	89	0.09814	14308.33
4	90	0.08663	14155.79
4	91	0.0837	13997.49
4	92	0.08422	14163.56
4	93	0.08359	14371.25
4	94	0.08257	14812.84
5	29	0.09666	2184.814
5	30	0.07855	1659.259
5	31	0.06438	1732.673
5	32	0.05283	1443.299
5	33	0.05231	1502.439
5	34	0.05698	1641.256
5	35	0.05768	1780.105
5	36	0.05973	2098.022
5	37	0.06096	2101.329
5	38	0.06172	1915.612
5	39	0.06313	2074.513
5	40	0.06268	2437.291
5	41	0.06685	2626.263
5	42	0.06983	3366.337
5	43	0.07973	3588.579
5	44	0.08235	4223.871
5	45	0.0802	4394.753
5	46	0.06004	4065.875
5	47	0.07695	3605.276
5	48	0.06662	4115.741
5	49	0.04317	3800
5	50	0.04481	3877.273
5	51	0.04971	4124.464
5	52	0.03239	4323.529
5	53	0.03618	4491.597
5	54	0.02204	4427.984
5	55	0.03276	4769.231
5	56	0.03238	4884.921
5	57	0.02697	4796.154
5	58	0.01815	4981.061
5	59	0.01602	5240.741
5	60	0.01564	5116.364
5	61	0.01545	5451.264
5	62	0.01502	5570.922
5	63	0.01428	5772.727
5	64	0.01355	6085.911
5	65	0.01354	6340.067
5	66	0.01398	6830.065
5	67	0.01445	7076.433
5	68	0.01595	7351.682
5	69	0.01683	7624.633
5	70	0.01719	7926.966
5	71	0.02841	8168.449
5	72	0.03631	8659.794
5	73	0.04385	9543.902
5	74	0.03348	9473.451
5	75	0.02902	9294.479
5	76	0.01603	9696.911
5	77	0.01858	9980.144
5	78	0.05419	10702.02
5	79	0.05284	10683.15
5	80	0.0366	10323.53
5	81	0.0542	10673.52
5	82	0.05111	10518.25
5	83	0.04953	10555.68
5	84	0.05126	11219.87
5	85	0.05058	11465.09
5	86	0.05809	11675
5	87	0.04784	11611
5	88	0.04804	11793.67
5	89	0.0493	11971.64
5	90	0.04799	11996.52
5	91	0.04716	12075.19
5	92	0.04632	12529.55
5	93	0.04387	12622.43
5	94	0.04419	13006.19
6	29	0.09584	6955.587
6	30	0.09001	6437.037
6	31	0.07828	6031.353
6	32	0.07296	5285.848
6	33	0.09591	5170.732
6	34	0.07046	5255.605
6	35	0.07353	5610.82
6	36	0.0735	6474.635
6	37	0.07262	6445.183
6	38	0.06941	6345.992
6	39	0.06926	6460.627
6	40	0.06772	7341.137
6	41	0.07543	7715.618
6	42	0.07303	8953.324
6	43	0.08514	9902.661
6	44	0.09503	9672.233
6	45	0.093	9320.215
6	46	0.11153	8893.089
6	47	0.09317	8158.28
6	48	0.06268	8027.778
6	49	0.08898	7986.047
6	50	0.05863	8413.636
6	51	0.05659	8806.867
6	52	0.05242	9151.261
6	53	0.04969	9340.336
6	54	0.04571	9061.728
6	55	0.04554	9534.413
6	56	0.03837	9801.587
6	57	0.03783	9807.692
6	58	0.0315	9723.485
6	59	0.02981	10037.04
6	60	0.02902	10138.18
6	61	0.02796	10274.37
6	62	0.02684	10517.73
6	63	0.02609	10716.78
6	64	0.02647	11123.71
6	65	0.02579	11393.94
6	66	0.02597	11856.21
6	67	0.02594	12257.96
6	68	0.02674	12761.47
6	69	0.02698	13173.02
6	70	0.02728	13320.22
6	71	0.02539	13245.99
6	72	0.0254	13796.39
6	73	0.02555	14209.76
6	74	0.02401	14210.18
6	75	0.02194	14179.96
6	76	0.02886	14731.66
6	77	0.03432	15054.15
6	78	0.023	15764.31
6	79	0.02255	16265.84
6	80	0.02298	16359.94
6	81	0.00915	16501.29
6	82	0.00844	16313.87
6	83	0.00805	16367.75
6	84	0.00822	17157.37
6	85	0.00795	17522.02
6	86	0.0077	17791.67
6	87	0.00765	17828
6	88	0.00818	17949.14
6	89	0.00818	17950.59
6	90	0.00781	17975.63
6	91	0.00739	17441.1
6	92	0.00725	17526.32
6	93	0.0071	17293.84
6	94	0.00649	17287.7
8	29	0.1022	4491.404
8	30	0.08847	4229.63
8	31	0.0748	3844.884
8	32	0.06379	3270.853
8	33	0.06442	3385.366
8	34	0.06791	3255.605
8	35	0.06958	3821.99
8	36	0.07157	4600.172
8	37	0.07428	4368.771
8	38	0.07554	4219.409
8	39	0.07767	4318.374
8	40	0.07832	4811.873
8	41	0.07941	4980.575
8	42	0.07857	6265.912
8	43	0.07886	6670.993
8	44	0.07785	6542.981
8	45	0.07382	7048.301
8	46	0.05813	6484.881
8	47	0.06838	6570.591
8	48	0.06171	6666.667
8	49	0.04692	6600
8	50	0.0486	6863.636
8	51	0.05068	7652.361
8	52	0.04285	7852.941
8	53	0.04138	7584.034
8	54	0.03183	7263.374
8	55	0.03589	7538.462
8	56	0.03458	7742.063
8	57	0.03786	8057.692
8	58	0.05212	8128.788
8	59	0.05111	8348.148
8	60	0.04631	8472.727
8	61	0.04647	8689.531
8	62	0.04919	8716.312
8	63	0.05326	8832.168
8	64	0.05771	9024.055
8	65	0.06309	9414.141
8	66	0.05685	9741.83
8	67	0.05304	10031.85
8	68	0.04708	10348.62
8	69	0.0428	10780.06
8	70	0.03816	11292.13
8	71	0.03956	11665.78
8	72	0.04323	12175.26
8	73	0.0513	12773.17
8	74	0.04427	12758.85
8	75	0.04073	12717.79
8	76	0.04342	13090.73
8	77	0.04192	13427.8
8	78	0.05067	14099.33
8	79	0.05235	14533.23
8	80	0.0491	14868.35
8	81	0.03635	15365.04
8	82	0.03335	15521.9
8	83	0.03174	15513.92
8	84	0.03268	15945.31
8	85	0.03195	15873.25
8	86	0.0306	15688.54
8	87	0.02936	15499
8	88	0.0323	15873.32
8	89	0.03153	16255.26
8	90	0.03271	16374.24
8	91	0.0307	16494.57
8	92	0.03147	16688.26
8	93	0.02938	17030.02
8	94	0.02894	17262.18
9	29	0.11294	7249.284
9	30	0.09921	6748.148
