DATE	unem	pi
Mar-50	6.3	1.523809729
Apr-50	5.8	0.50750688
May-50	5.5	6.073399721
Jun-50	5.4	5.540408583
Jul-50	5	9.509955925
Aug-50	4.5	6.463657641
Sep-50	4.4	6.922145276
Oct-50	4.2	7.86243599
Nov-50	4.2	4.887990465
Dec-50	4.3	18.39487411
Jan-51	3.7	19.06314911
Feb-51	3.4	21.09017379
Mar-51	3.4	2.32063503
Apr-51	3.1	1.853282222
May-51	3	3.236372603
Jun-51	3.2	-2.773498923
Jul-51	3.1	-0.925925972
Aug-51	3.1	-2.317945476
Sep-51	3.3	7.862814795
Oct-51	3.5	5.978169099
Nov-51	3.5	7.317095842
Dec-51	3.1	6.819491738
Jan-52	3.2	-0.907029522
Feb-52	3.1	-1.816118394
Mar-52	2.9	-0.909090953
Apr-52	2.9	3.178809806
May-52	3	0.453429063
Jun-52	3	2.716982293
Jul-52	3.2	6.765663477
Aug-52	3.4	0.449690843
Sep-52	3.1	-2.700676309
Oct-52	3	2.700676309
Nov-52	2.8	0
Dec-52	2.7	0.898876447
Jan-53	2.9	-3.14901774
Feb-53	2.6	-2.254368501
Mar-53	2.6	1.803833485
Apr-53	2.7	2.700676309
May-53	2.5	0.449522388
Jun-53	2.5	3.141950551
Jul-53	2.6	0.896191229
Aug-53	2.7	2.684564878
Sep-53	2.9	1.786379191
Oct-53	3.1	2.674592489
Nov-53	3.5	-4.46097168
Dec-53	4.5	0.893522007
Jan-54	4.9	3.122098026
Feb-54	5.2	2.225107257
Mar-54	5.7	-2.670624248
Apr-54	5.9	-3.123258874
May-54	5.9	3.123258874
Jun-54	5.6	0.44551699
Jul-54	5.8	-3.568775865
Aug-54	6	-0.446844168
Sep-54	6.1	-1.789042448
Oct-54	5.7	-4.035124295
Nov-54	5.3	2.691589913
Dec-54	5	-0.448179277
Jan-55	4.9	0
Feb-55	4.7	2.239224386
Mar-55	4.6	-1.343033156
Apr-55	4.7	0
May-55	4.3	-0.896191229
Jun-55	4.2	-2.692596492
