Date	Spot 	Forward	i_rates	CPI	M1	IP	M1us	IPus	i_us
12/30/1988	1.5020	1.4998	4.875	73.378	124.878	76.169	786.7	63.7411	8.760
1/31/1989	1.5997	1.5874	4.750	73.760	120.558	73.920	785.7	64.5388	9.120
2/28/1989	1.5549	1.5498	6.125	74.142	118.725	72.950	783.8	64.8579	9.360
3/31/1989	1.6625	1.6574	8.188	74.333	120.312	73.258	783	64.4632	9.850
4/28/1989	1.6735	1.6680	7.500	74.715	117.897	78.432	779.2	64.5304	9.840
5/31/1989	1.7060	1.7008	7.000	74.715	117.045	78.608	775	63.5312	9.810
6/30/1989	1.6790	1.6764	7.063	74.906	117.389	77.374	773.5	65.1938	9.530
7/31/1989	1.6065	1.6048	7.000	74.715	113.860	70.613	777.8	62.1793	9.240
8/31/1989	1.6880	1.6959	7.375	75.002	113.740	69.643	779.4	64.8831	8.990
9/29/1989	1.6228	1.6202	7.375	75.288	116.994	70.350	781	65.0006	9.020
10/31/1989	1.6145	1.6139	9.688	75.575	115.491	75.908	786.6	64.5892	8.840
11/30/1989	1.5915	1.5901	7.375	76.435	118.789	77.584	788	63.8335	8.550
12/29/1989	1.5410	1.5428	9.688	77.008	119.620	78.553	792.9	63.9342	8.450
1/31/1990	1.5040	1.5059	8.625	77.486	113.039	77.871	795.4	64.0182	8.230
2/28/1990	1.4915	1.4926	8.688	77.677	110.691	78.137	798.1	64.9754	8.240
3/30/1990	1.4975	1.4984	8.500	77.964	111.390	78.405	801.6	65.2022	8.280
4/30/1990	1.4505	1.4517	8.625	78.155	109.606	79.524	806.2	63.8502	8.260
5/31/1990	1.4330	1.4341	8.875	78.537	110.601	79.163	804.3	64.396	8.180
6/29/1990	1.4155	1.4162	8.938	78.632	112.548	78.168	808.9	66.3022	8.290
7/31/1990	1.3477	1.3488	8.563	78.632	108.025	73.767	810.1	63.9846	8.150
8/31/1990	1.3085	1.3088	7.125	79.492	107.218	73.586	815.6	66.1258	8.130
9/28/1990	1.2995	1.2996	7.250	79.874	111.020	74.852	820.1	66.6296	8.200
10/31/1990	1.2870	1.2873	7.625	80.352	111.084	81.424	819.8	65.7312	8.110
11/30/1990	1.2765	1.2770	7.313	81.117	114.370	82.690	822.1	64.0266	7.810
12/31/1990	1.2770	1.2782	8.750	81.117	119.252	82.509	824.7	63.0861	7.310
1/31/1991	1.2580	1.2590	7.625	81.785	112.977	77.987	827.2	63.464	6.910
2/28/1991	1.3265	1.3279	8.188	82.550	111.887	77.083	832.7	63.2793	6.250
3/29/1991	1.4450	1.4477	8.688	82.550	111.485	76.902	838.7	62.4983	6.120
4/30/1991	1.4490	1.4524	8.438	82.741	112.057	79.374	843.2	62.5487	5.910
5/31/1991	1.4822	1.4848	7.375	83.505	113.930	79.193	848.8	62.8342	5.780
6/28/1991	1.5582	1.5608	7.500	83.792	114.426	78.288	856.7	65.135	5.900
7/31/1991	1.5260	1.5285	7.500	83.792	111.461	73.405	861.5	62.8678	5.820
8/30/1991	1.5285	1.5316	7.750	84.269	111.159	73.495	866.7	65.1434	5.660
9/30/1991	1.4490	1.4526	8.313	84.461	113.294	75.304	870.2	65.7899	5.450
10/31/1991	1.4650	1.4684	6.500	84.556	114.028	84.016	878	65.3113	5.210
11/29/1991	1.4360	1.4402	7.063	85.512	117.474	85.373	887.6	64.1693	4.810
12/31/1991	1.3615	1.3654	7.563	85.320	120.750	84.559	897	63.338	4.430
1/31/1992	1.4290	1.4328	7.125	85.703	115.777	76.872	910.4	63.6907	4.030
2/28/1992	1.4845	1.4890	7.500	86.371	115.855	75.244	925.3	64.6815	4.060
3/31/1992	1.5020	1.5084	9.000	86.563	115.292	74.972	936.7	65.1854	3.980
4/30/1992	1.5170	1.5235	8.625	86.754	115.524	78.831	943.8	64.4632	3.730
5/29/1992	1.4562	1.4630	9.625	86.945	114.763	79.193	950.5	64.9083	3.820
6/30/1992	1.3747	1.3810	8.750	87.327	115.863	78.831	954.3	66.5289	3.760
7/31/1992	1.3155	1.3213	8.250	87.040	110.898	75.455	963.2	64.5808	3.250
8/31/1992	1.2504	1.2551	7.375	87.231	110.737	75.364	973.7	66.8899	3.300
9/30/1992	1.2368	1.2408	7.000	87.327	116.010	76.269	988.1	67.0075	3.220
10/30/1992	1.3743	1.3778	6.250	87.518	116.800	81.665	1003.8	67.3014	3.100
11/30/1992	1.4337	1.4372	6.500	88.378	120.557	81.936	1015.7	66.6716	3.090
