	rt	mkt	smb 	hml
196307	2.98	-0.39	-0.47	-0.83
196308	3.22	5.07	-0.79	1.67
196309	1.07	-1.57	-0.48	0.18
196310	3.45	2.53	-1.29	-0.1
196311	-0.16	-0.85	-0.84	1.71
196312	3.16	1.83	-1.89	-0.12
196401	0.98	2.24	0.08	1.59
196402	1.84	1.54	0.32	2.83
196403	3.11	1.41	1.41	3.32
196404	0.13	0.1	-1.52	-0.55
196405	3.94	1.42	-0.68	1.98
196406	-0.13	1.27	0.09	0.68
196407	-1.23	1.74	0.53	0.68
196408	0.41	-1.44	0.3	0.09
196409	0.6	2.69	-0.31	1.65
196410	-1.51	0.59	0.88	1.14
196411	3.09	0	-0.27	-1.98
196412	-0.74	0.03	-0.58	-2.55
196501	-3.14	3.54	2.49	0.18
196502	0.48	0.44	3.31	0.22
196503	1.42	-1.34	2.03	1.09
196504	2.11	3.11	1.18	0.71
196505	0.4	-0.77	0.06	-1.63
196506	-5.97	-5.51	-4.3	0.55
196507	6.5	1.43	1.07	2.18
196508	2.96	2.73	2.72	-0.96
196509	3.06	2.86	0.62	-0.1
196510	3.95	2.6	3.43	1.52
196511	9.89	-0.03	5.19	0.21
196512	0.77	1.01	2.65	1.95
196601	8.43	0.72	4.72	3.49
196602	10.86	-1.21	4.86	0.27
196603	4.83	-2.51	0.22	-2.07
196604	3.62	2.14	3.38	-0.54
196605	-7.74	-5.66	-5.19	-1.55
196606	5.11	-1.44	1.34	0.5
196607	-0.38	-1.63	-0.5	0.96
196608	-4.03	-7.91	-3.03	0.47
196609	-1.26	-1.06	-1.19	0.53
196610	-7.75	3.86	-6.53	2.87
196611	13.11	1.4	3.37	-4.46
196612	-1.25	0.13	1.93	-1.22
196701	-5.68	8.15	9	2.22
196702	4.94	0.78	3.03	-2.17
196703	3.59	3.99	1.91	0.31
196704	-0.17	3.89	0.46	-2.64
196705	3.8	-4.33	2.37	0.8
196706	5.88	2.41	6.47	0.96
196707	-2.72	4.58	3.48	2.65
196708	-1.6	-0.89	0.76	1.46
196709	0.16	3.11	2.46	-2.47
196710	4.69	-3.09	0.46	-3.39
196711	-0.21	0.37	-0.05	-1.71
196712	6.72	3.05	5.76	-0.39
196801	-7.13	-4.06	4.48	4.75
196802	-5.44	-3.75	-2.92	1.17
196803	4.69	0.2	-1.52	-0.59
196804	8.55	9.05	6.25	-1.03
196805	8.64	2.28	7.02	0.84
196806	-0.88	0.69	-0.28	0.67
196807	-2.03	-2.72	-1.33	5.48
196808	3.75	1.34	2.29	1
196809	3.08	4.03	2.78	0.24
196810	-3.46	0.42	-0.42	2.89
196811	1.48	5.43	2.41	-0.9
196812	1.31	-3.94	3.6	0.02
196901	0.91	-1.25	-0.46	1.69
196902	-2.33	-5.84	-4.12	0.9
196903	6.71	2.64	-0.4	-0.46
196904	3.2	1.46	-0.82	0.03
196905	5.64	-0.1	-0.18	0.73
196906	0.59	-7.18	-5.49	-1.09
196907	4.77	-7	-3.37	1.42
196908	4.09	4.68	0.71	-3.87
196909	1.64	-2.98	1.29	-3.19
196910	-3.91	5.06	3.89	-3.19
196911	6.37	-3.79	-2.41	-1.12
196912	9.46	-2.63	-3.7	-3.02
197001	-0.41	-8.1	3.09	3.04
197002	-0.47	5.13	-2.58	4.04
197003	0.9	-1.06	-2.4	4.25
197004	6.02	-11	-6.3	6.39
197005	3.2	-6.92	-4.42	3.6
197006	10.5	-5.79	-2.17	0.87
197007	-0.46	6.93	-0.69	0.96
197008	-11.34	4.49	1.54	1.03
197009	-18.79	4.18	8.49	-5.58
197010	13.57	-2.28	-4.5	0.27
197011	7.17	4.59	-4	1.63
197012	-2.37	5.72	3.02	1.01
197101	-11.32	4.84	7.54	1.38
197102	-0.94	1.41	2.05	-1.29
197103	-2.76	4.13	2.15	-4.04
197104	1.19	3.15	-0.37	0.72
197105	2.92	-3.98	-1.17	-1.38
197106	5.63	-0.1	-1.45	-2.06
197107	-1.25	-4.5	-1.41	0.17
197108	6.43	3.79	-0.18	2.67
197109	4.1	-0.85	0.19	-2.96
197110	5.1	-4.42	-1.65	-0.43
197111	4.51	-0.46	-2.9	-1.7
197112	-0.94	8.71	3.27	-0.35
197201	-0.54	2.49	6.33	1.99
197202	0.8	2.87	0.96	-2.76
197203	3.11	0.63	-0.49	-1.73
197204	3.41	0.29	0.15	0.23
197205	7.23	1.25	-3.15	-2.69
197206	6.57	-2.43	-0.35	-2.51
197207	4.45	-0.8	-2.74	0.78
197208	-5.94	3.26	-3.53	4.69
197209	4.82	-1.14	-2.25	0.47
197210	5.08	0.52	-2.53	1.37
197211	-7.95	4.6	-0.53	4.76
197212	9.58	0.62	-1.82	-2.27
197301	7.85	-3.29	-2.79	2.68
197302	4.15	-4.85	-4.01	1.7
197303	5.8	-1.3	-2.31	2.78
197304	8.34	-5.68	-3	5.69
197305	12.74	-2.94	-5.98	0.21
197306	9.18	-1.56	-2.54	1.44
197307	-18.67	5.05	7.25	-5.31
197308	4.13	-3.82	-1.75	1.14
197309	-5.71	4.75	3.54	2.18
197310	9.62	-0.83	-0.26	1.74
197311	13.62	-12.75	-7.25	4.04
197312	13.31	0.61	-4.6	4.09
197401	-19.27	-0.17	10.41	5.99
197402	4.38	-0.47	0.16	2.54
197403	-5.51	-2.81	2.64	-0.11
197404	5.59	-5.29	-0.63	1.06
197405	-0.59	-4.68	-3.17	-2.04
197406	3.98	-2.83	-0.02	0.79
197407	6.56	-8.05	1.99	5.14
197408	3.12	-9.35	0.3	2.5
197409	5.04	-11.77	1.46	5.49
197410	5.91	16.1	-6.85	-9.99
197411	-0.78	-4.51	-1.44	-0.16
197412	2	-3.45	-4.36	0
197501	-19.7	13.66	12.79	8.44
197502	-2.4	5.56	-0.65	-4.56
197503	-1.03	2.66	3.98	2.49
197504	3.32	4.23	-0.59	-1.11
197505	-0.6	5.19	2.89	-4.02
197506	-0.49	4.83	1.32	1.32
197507	4.06	-6.59	3.42	1.7
197508	1.92	-2.85	-2.79	-0.9
197509	1.86	-4.26	0.02	0.34
197510	0.89	5.31	-4.23	0.3
197511	-1.67	2.64	-1.07	1.99
197512	0.28	-1.6	-0.03	1.76
197601	9.54	12.16	6.35	8.58
197602	2.77	0.32	7.97	5.78
197603	0.15	2.32	-1.34	-0.04
197604	0.54	-1.49	0.14	-0.06
197605	-2.68	-1.34	-1.12	-1.32
197606	-2.39	4.05	-1.13	0.68
197607	-0.12	-1.07	0.62	1.74
197608	-0.72	-0.56	-2.03	0.79
197609	0.53	2.07	0.12	-0.29
197610	0.2	-2.42	0.16	-0.13
197611	3.67	0.36	2.65	1.51
197612	3.16	5.65	3.61	2.22
197701	11.85	-4.05	5.9	4.26
197702	-0.09	-1.94	1.11	0.5
197703	2.05	-1.37	1.29	1.02
197704	8	0.15	0.59	3.45
197705	2.97	-1.45	1.28	0.84
197706	1.33	4.71	2.07	-0.64
197707	1.15	-1.69	1.82	-0.59
197708	-4.04	-1.75	0.89	-2.79
197709	3.18	-0.27	1.56	-0.49
197710	0.27	-4.38	1.5	1.72
197711	5.3	4	3.62	0.31
197712	1.45	0.27	1.6	-0.37
197801	1.66	-6.01	2.69	3.31
197802	5.8	-1.38	3.67	0.76
197803	3.19	2.85	3.72	1.2
197804	-1.33	7.88	-0.31	-3.54
197805	7.08	1.76	4.56	-0.62
197806	6.91	-1.69	1.59	0.59
197807	5.42	5.11	0.15	-1.11
197808	6.31	3.75	4.93	-0.46
197809	-5.44	-1.43	-0.28	1.87
197810	-12.13	-11.91	-10.05	1.36
197811	8.34	2.71	2.85	-2.22
197812	5.68	0.88	1.07	-2.19
197901	-2.93	4.23	3.84	2.27
197902	-1.61	-3.56	0.55	1.2
197903	2.11	5.68	3.16	-0.67
197904	1.07	-0.06	2.4	1.05
197905	1.64	-2.21	0.5	1.92
197906	1.09	3.85	0.99	1.48
197907	-0.85	0.82	1.24	1.7
197908	-0.97	5.53	1.97	-1.55
197909	8.22	-0.82	-0.27	-0.87
197910	6.46	-8.1	-3.46	-1.86
197911	10.34	5.21	2.44	-3.25
197912	6.15	1.79	4.34	-1.98
198001	9.75	5.51	1.9	1.8
198002	10.28	-1.22	-1.49	0.62
198003	-17.46	-12.9	-6.97	-1.06
198004	0.07	3.97	1	1.06
198005	-5.51	5.26	2.1	0.39
198006	1.61	3.06	1.47	-0.89
198007	-3.61	6.49	3.93	-6.3
198008	2.47	1.8	4.26	-2.64
198009	8.27	2.19	0.58	-4.79
198010	7.03	1.06	2.33	-2.74
198011	16.23	9.59	-3.4	-8.35
198012	-7.21	-4.52	-0.31	2.68
198101	-10.58	-5.04	3.37	6.84
198102	0.03	0.57	-0.49	0.97
198103	-1.89	3.56	3.08	0.67
198104	1.98	-2.11	4.6	2.26
198105	6.27	0.11	2.45	-0.43
198106	-12.8	-2.36	-0.97	5.13
198107	-7.08	-1.54	-1.97	-0.66
198108	-0.65	-7.04	-1.81	4.84
198109	1.26	-7.17	-2.49	5.2
