Date	MS 	SP100	Apple	Dell	HP	IBM	Intel	Ford
1/3/2000	116.56	788.79	111.94	50.88	117.44	116	87	52.38
1/4/2000	112.62	759.01	102.5	46.63	108.56	112.06	82.94	50.63
1/5/2000	113.81	761.52	104	49.94	107.87	116	83.62	50.81
1/6/2000	110	762.64	95	48	101	114	78.75	50.88
1/7/2000	111.44	783.49	99.5	46.19	103.87	113.5	82	54.63
1/10/2000	112.25	790.92	97.75	44.13	111.06	118	85.75	53.63
1/11/2000	109.37	785.25	92.75	42.81	108.56	119	89.69	52.19
1/12/2000	105.81	782.73	87.19	41.81	112.37	119.5	91.25	53.69
1/13/2000	107.81	787.96	96.75	43.13	112.75	118.25	91.06	53.06
1/14/2000	112.25	797.52	100.44	44	112.5	119.62	103.06	51.75
1/18/2000	115.31	795.68	103.94	42.06	113.56	115.75	102.12	54.25
1/19/2000	107	790.31	106.56	42.5	116	119.5	100.06	53.44
1/20/2000	106	783.33	113.5	43.75	116.12	119	95.62	52.22
1/21/2000	103.75	779.78	111.31	43.75	113.12	121.5	97.94	50.44
1/24/2000	101.25	758.74	106.25	41.56	113	121.5	98.81	51.13
1/25/2000	102.81	767.31	112.25	42.13	112.62	119.12	101.56	50.13
1/26/2000	99.37	762.79	110.19	40.38	108.75	116.75	96.5	48
1/27/2000	98.75	759.61	110	37.56	108.5	113.5	98.12	49.94
1/28/2000	98.25	738.04	101.62	37.25	108.75	111.56	94	49
1/31/2000	97.87	754.26	103.75	38.44	108.25	112.25	98.94	49.75
2/1/2000	102.94	766.89	100.25	38.94	105.81	110	101.44	49.81
2/2/2000	100.81	763.92	98.81	38.13	110.56	113.5	100.06	48.63
2/3/2000	103.62	771.96	103.31	38.5	113.5	117.12	104.19	48.75
2/4/2000	106.56	775.51	108	38.5	118	115.62	104.75	48.06
2/7/2000	106.62	774.19	114.06	37.63	128.5	114.12	107.94	47.94
2/8/2000	109.94	782.21	114.87	37.06	124.19	118.81	108.81	48.13
2/9/2000	104	765.47	112.62	35.56	124	117.37	104.62	47.19
2/10/2000	106	768.98	113.5	38.8	126	119.12	107.62	47
2/11/2000	99.94	752.04	108.75	36.88	121.37	115.37	105.87	46.13
2/14/2000	99.62	756.8	115.81	36.44	123	116.06	109.87	47.06
2/15/2000	98.56	763.06	119	37.88	124.75	117.12	112	46.38
2/16/2000	97.62	754.2	114.12	38	131	115.75	107.19	46.31
2/17/2000	99.62	752.19	114.87	40.69	128	116.75	110	45.88
2/18/2000	95.06	728.52	111.25	40.06	129	112.5	105.37	43.38
2/22/2000	93.81	731.58	113.81	39.81	128	111	106.75	44.06
2/23/2000	94.25	736.3	116.25	41.38	130.75	108.75	109.06	43
2/24/2000	94.75	731.16	115.2	42.38	129.5	110.5	114.25	42.5
2/25/2000	91.31	719.78	110.37	41.25	124.62	108	113.25	42.94
2/28/2000	91.56	727.75	113.25	41	128.88	104.5	112.37	42.69
2/29/2000	89.37	738.64	114.62	40.81	134.5	102.75	113	41.63
3/1/2000	90.81	743.54	130.31	43.02	133.63	100.25	115.87	41.59
3/2/2000	93.37	750.26	122	44.94	134	103.12	115.75	41.38
3/3/2000	96.12	765.95	128	46.25	138.63	108	119.25	42.69
3/6/2000	90.62	752.96	125.69	46.75	146.5	103.06	117.37	41.94
3/7/2000	92.87	732.25	122.87	45.75	143	103	115.75	41.13
3/8/2000	95.56	739.86	122	46.94	140.88	106.25	114.94	42.56
3/9/2000	100	756.97	122.25	50.44	151.88	108	118.37	41.63
3/10/2000	101	749.5	125.75	51.25	146.94	105.25	120.19	41.06
3/13/2000	98	743	121.31	54.75	146.5	107.69	122.12	42.56
3/14/2000	95.12	730.75	114.25	55.94	139.75	108.62	117.87	41
3/15/2000	95.37	749.3	116.25	53.69	132	107	120.19	44.06
3/16/2000	95.37	781.93	121.56	55	133	109	125.06	43.81
3/17/2000	99.37	786.74	125	56.44	139	110	129.88	44.63
3/20/2000	97.37	785.3	123	57.69	144	112.75	135	43.75
3/21/2000	102.75	806.87	134.94	58	141.88	113.5	138.44	45.81
3/22/2000	103.25	810.55	144.19	58.13	146.19	114.25	144.06	44
3/23/2000	111.87	831.7	141.31	57.5	147.25	115.25	142.63	44.5
3/24/2000	111.69	832.65	138.69	56.44	142.38	120.62	139.06	44.63
3/27/2000	104.06	830.17	139.56	57.88	146.19	126.87	142.69	44.19
3/28/2000	104.31	821.4	139.13	55.88	140.69	122.5	135.69	44.5
3/29/2000	107.19	827.5	135.94	53.81	135	119	131.88	44.81
3/30/2000	103.37	813.81	125.75	52.19	130.75	122.75	127	46.63
3/31/2000	106.25	815.06	135.81	53.94	132.56	118.37	131.94	45.94
4/3/2000	90.87	820.62	133.31	53.38	132.56	122	130.63	47
4/4/2000	88.56	813.29	127.31	54.31	138.13	121.19	132.75	49.06
4/5/2000	86.37	806.29	130.38	53.92	142	125	129.88	49.31
4/6/2000	86	814.09	125.19	51.56	148.13	122.75	129.81	49.94
4/7/2000	89.06	821.52	131.75	55.19	156	123.12	136.81	48.38
4/10/2000	86.06	817.14	125	54.44	147.25	122.12	131.13	51.06
4/11/2000	83.87	816.76	119.44	55.44	145.81	119.37	130.75	51.94
4/12/2000	79.37	792.9	109.25	51.38	135	113.75	121.87	53.63
4/13/2000	79.25	777.29	113.81	51.69	131.94	110.62	121.12	54.44
4/14/2000	74.12	731.96	111.87	47.63	123	105	110.5	52.25
4/17/2000	75.87	762.49	123.87	48.75	133.75	111.87	123	57.06
4/18/2000	80.56	785.92	126.87	50.5	139.06	111.5	129	55.38
4/19/2000	78.69	771.62	121.12	49.56	135.81	105	119.06	55
4/20/2000	78.94	777.12	118.87	49.94	139.5	104	115.37	55.13
4/24/2000	66.62	772.55	120.5	47.75	132.31	106.5	116.12	55.31
4/25/2000	69.37	795.55	128.31	51.13	139.31	112.5	125	55
4/26/2000	68	789.07	121.31	50	140.56	110.5	120.81	55
4/27/2000	69.81	790.7	126.75	51.75	137.88	110.62	125.31	55.13
4/28/2000	69.75	781.42	124.06	50.13	135	111.5	126.81	54.75
5/1/2000	73.44	791.12	124.31	51.06	139	112	127.12	54.06
5/2/2000	69.87	779.25	117.87	49.81	138.06	111.37	121.19	53.25
5/3/2000	70.56	761.18	115.06	49.31	132.5	108.12	119.06	53.06
5/4/2000	70.44	756.81	110.69	47.25	132.13	107.62	119.56	52.63
5/5/2000	71.12	769.79	113.12	49.88	136.75	107.87	123.37	52.88
5/8/2000	69.81	763.59	110.12	47.94	135.69	109.75	117.62	53.56
5/9/2000	67.81	757.82	105.44	46.81	132.81	109	116.94	53.06
5/10/2000	66.19	739.91	99.31	44.94	126.25	103	106.06	52.25
5/11/2000	67.87	754.74	102.81	44.69	130.88	104.44	115.56	52.94
5/12/2000	68.81	761.67	107.62	49.88	131.56	104.44	115	53.38
5/15/2000	69.37	776.53	101	50.56	134	104.19	118.12	52.38
5/16/2000	69.5	784.23	105.69	49.88	138.5	109	121.87	53.19
5/17/2000	67.69	772.53	101.37	49.13	130.06	107.87	123.19	52.38
5/18/2000	66.19	766.83	100.75	47.88	131.69	106.06	123.94	53.63
5/19/2000	65.06	752.95	94	46.94	126.19	106.44	117.87	53.44
5/22/2000	64.19	748.04	89.94	45.94	122.75	109.25	118.37	51.25
5/23/2000	63.19	732.55	85.81	43.94	120.69	107.37	109.87	51.38
5/24/2000	65.56	747.1	87.69	45.25	118.62	109.62	117.37	51.94
5/25/2000	61.5	736.95	87.27	43.75	116.25	106.5	115.19	50.69
5/26/2000	61.44	736.08	86.37	42.38	118.12	106.94	117.56	48.19
5/30/2000	63.38	761.42	87.56	44	124.5	110.94	125.75	49.06
5/31/2000	62.56	761.55	84	43.13	120.19	107.31	124.69	48.56
6/1/2000	64.56	777.59	89.12	43.13	134.25	106	129.69	49.5
6/2/2000	66.31	792.69	92.56	43.31	142.13	108.81	134.19	48.38
6/5/2000	66.87	790.75	91.31	42.75	120.31	112.81	132.56	50.88
6/6/2000	69.62	783.39	92.87	44.69	118	112.37	129.56	50
6/7/2000	70.5	791.13	96.56	45.25	122.56	121	128.94	49.44
6/8/2000	68.81	785.33	94.81	45.31	125.87	119.75	126.19	49
6/9/2000	68.81	779.7	95.75	45.06	128	119.69	127.06	49.88
6/12/2000	66.87	774.25	91.19	44.88	126	118.84	125.06	50.13
6/13/2000	67.87	789.43	94.5	45.06	119	119.31	131.5	49.94
6/14/2000	70.5	790.35	90.44	46.19	114	116	126.44	48.25
6/15/2000	72.37	798.88	92.37	46.94	117	116.81	128.25	46
6/16/2000	72.56	788.74	91.19	47.5	114.06	113.25	126.06	45
6/19/2000	73.69	802.91	96.62	49.56	117.81	120.37	136.5	44.63
6/20/2000	74.94	797.56	101.25	48.56	116.5	116.37	138.31	43
6/21/2000	80.69	800	55.63	50	119.5	114.5	139	43.69
6/22/2000	79.87	785.09	53.75	48.5	118.56	111.81	134.06	43.69
6/23/2000	77.69	781.07	51.69	47.44	117.12	111.87	134.38	44.44
6/26/2000	79.5	789.21	54.13	49	120	114.41	134.19	42.88
6/27/2000	78.81	784.94	51.75	47.81	116.62	109.75	131.38	42.88
6/28/2000	78.94	788	54.44	49	123.8	113.78	132.38	44
6/29/2000	77.19	779.74	51.25	48.38	119.75	114	131.75	43.25
6/30/2000	80	790.25	52.38	49.31	124.87	109.56	133.69	43
7/3/2000	80	796.03	53.31	49.06	124.25	109.5	136.88	43.94
7/5/2000	78.5	783.37	51.63	47.44	119.62	105	131.63	44.81
7/6/2000	80.94	789.92	51.81	47.75	118.37	101.25	136.63	46.31
7/7/2000	82	803	54.44	50.69	124.75	105.06	139.31	46.25
7/10/2000	79.44	799.59	57.13	49.75	123.69	103.31	137.81	46.75
7/11/2000	79.12	801.05	56.94	50.75	126.62	102	138.81	47.81
7/12/2000	80.31	805.91	58.88	52.06	128.38	104.62	141.19	48.31
7/13/2000	79.94	808.03	56.5	52.94	134.88	104	143.19	48.19
