Date	Spot 	Forward	i_rates	CPI	M1	IP	M1us	IPus	i_us
12/30/1988	0.8555	0.8519	14.589	61.803	40088.000	72.568	786.7	63.7411	8.760
1/31/1989	0.8890	0.8860	14.820	62.002	40776.000	72.362	785.7	64.5388	9.120
2/28/1989	0.8015	0.7973	15.767	62.304	40968.000	72.431	783.8	64.8579	9.360
3/31/1989	0.8195	0.8151	16.507	62.709	41153.000	72.775	783	64.4632	9.850
4/28/1989	0.7942	0.7897	16.711	63.365	40086.000	73.762	779.2	64.5304	9.840
5/31/1989	0.7525	0.7476	17.291	63.866	40241.000	74.382	775	63.5312	9.810
6/30/1989	0.7560	0.7502	17.728	64.359	40312.000	75.002	773.5	65.1938	9.530
7/31/1989	0.7605	0.7542	17.921	64.870	40326.000	75.989	777.8	62.1793	9.240
8/31/1989	0.7650	0.7592	17.860	65.331	40353.000	76.333	779.4	64.8831	8.990
9/29/1989	0.7785	0.7730	18.062	65.766	40298.000	76.402	781	65.0006	9.020
10/31/1989	0.7825	0.7761	18.046	66.154	40760.000	75.369	786.6	64.5892	8.840
11/30/1989	0.7865	0.7808	18.185	66.553	41055.000	75.507	788	63.8335	8.550
12/29/1989	0.7890	0.7829	18.157	66.941	43515.000	75.989	792.9	63.9342	8.450
1/31/1990	0.7736	0.7671	17.806	67.315	40534.000	77.953	795.4	64.0182	8.230
2/28/1990	0.7606	0.7558	16.802	67.686	40551.000	78.271	798.1	64.9754	8.240
3/30/1990	0.7555	0.7514	16.425	68.051	40966.000	78.079	801.6	65.2022	8.280
4/30/1990	0.7533	0.7468	15.171	68.479	41679.000	76.440	806.2	63.8502	8.260
5/31/1990	0.7688	0.7637	15.017	68.777	41194.000	75.935	804.3	64.396	8.180
6/29/1990	0.7950	0.7888	15.051	69.016	41897.000	75.625	808.9	66.3022	8.290
7/31/1990	0.7968	0.7939	15.019	68.926	42363.000	75.720	810.1	63.9846	8.150
8/31/1990	0.8145	0.8107	14.068	69.247	42152.000	75.644	815.6	66.1258	8.130
9/28/1990	0.8265	0.8229	14.050	69.709	43235.000	75.605	820.1	66.6296	8.200
10/31/1990	0.7863	0.7832	13.468	70.790	43296.000	75.825	819.8	65.7312	8.110
11/30/1990	0.7729	0.7706	13.047	71.177	43901.000	75.698	822.1	64.0266	7.810
12/31/1990	0.7715	0.7688	12.677	71.349	46696.000	75.446	824.7	63.0861	7.310
1/31/1991	0.7847	0.7772	12.021	70.976	44409.000	74.912	827.2	63.464	6.910
2/28/1991	0.7877	0.7846	12.013	70.961	43685.000	74.522	832.7	63.2793	6.250
3/29/1991	0.7775	0.7740	12.021	70.976	44232.000	74.122	838.7	62.4983	6.120
4/30/1991	0.7838	0.7810	11.579	71.021	44070.000	73.459	843.2	62.5487	5.910
5/31/1991	0.7597	0.7573	10.992	71.095	44086.000	73.224	848.8	62.8342	5.780
6/28/1991	0.7673	0.7645	10.542	71.200	44801.000	73.166	856.7	65.135	5.900
7/31/1991	0.7779	0.7751	10.485	71.334	45762.000	73.587	861.5	62.8678	5.820
8/30/1991	0.7848	0.7823	10.520	71.498	46895.000	73.656	866.7	65.1434	5.660
9/30/1991	0.7975	0.7961	9.594	71.691	46764.000	73.674	870.2	65.7899	5.450
10/31/1991	0.7834	0.7811	9.494	72.054	47663.000	73.581	878	65.3113	5.210
11/29/1991	0.7848	0.7823	8.640	72.203	48457.000	73.547	887.6	64.1693	4.810
12/31/1991	0.7622	0.7602	8.515	72.278	50228.000	73.509	897	63.338	4.430
1/31/1992	0.7509	0.7478	7.751	72.208	49817.000	73.420	910.4	63.6907	4.030
2/28/1992	0.7550	0.7518	7.519	72.186	49789.000	73.413	925.3	64.6815	4.060
3/31/1992	0.7705	0.7687	7.536	72.141	50148.000	73.439	936.7	65.1854	3.980
4/30/1992	0.7566	0.7564	7.505	72.005	50827.000	73.549	943.8	64.4632	3.730
5/29/1992	0.7578	0.7564	6.690	71.967	50515.000	73.603	950.5	64.9083	3.820
6/30/1992	0.7472	0.7455	6.571	71.960	51419.000	73.652	954.3	66.5289	3.760
7/31/1992	0.7441	0.7429	5.934	71.982	56318.000	73.647	963.2	64.5808	3.250
8/31/1992	0.7154	0.7140	5.862	72.034	56724.000	73.722	973.7	66.8899	3.300
9/30/1992	0.7132	0.7114	5.741	72.116	58158.000	73.828	988.1	67.0075	3.220
10/30/1992	0.6958	0.6945	5.739	72.218	58038.000	73.925	1003.8	67.3014	3.100
11/30/1992	0.6825	0.6820	5.771	72.367	58897.000	74.124	1015.7	66.6716	3.090
12/31/1992	0.6895	0.6875	5.793	72.554	60299.000	74.384	1024.9	66.2602	2.920
1/29/1993	0.6802	0.6790	5.751	72.887	59920.000	74.787	1030.4	66.806	3.020
2/26/1993	0.6952	0.6949	5.740	73.065	60133.000	75.109	1033.5	67.5533	3.030
3/31/1993	0.7055	0.7044	5.616	73.200	61247.000	75.430	1038.5	67.6876	3.070
4/30/1993	0.7073	0.7062	5.248	73.219	61934.000	75.977	1047.6	66.6128	2.960
5/31/1993	0.6785	0.6776	5.259	73.316	61740.000	76.129	1065.9	66.5457	3.000
6/30/1993	0.6655	0.6644	5.271	73.421	63921.000	76.111	1075.1	68.4098	3.040
7/30/1993	0.6900	0.6892	5.240	73.572	64842.000	75.443	1084.5	66.3189	3.060
8/31/1993	0.6735	0.6728	4.771	73.662	63159.000	75.447	1094.2	68.7373	3.030
9/30/1993	0.6460	0.6454	4.723	73.729	64920.000	75.643	1104.2	69.1907	3.090
10/29/1993	0.6665	0.6658	4.688	73.724	66464.000	76.161	1113	69.1823	2.990
11/30/1993	0.6594	0.6588	4.711	73.783	67720.000	76.641	1124.2	68.6029	3.020
12/31/1993	0.6793	0.6785	4.725	73.858	71025.000	77.213	1129.6	68.4602	2.960
1/31/1994	0.7086	0.7078	4.706	73.928	70475.000	78.200	1131.6	69.3166	3.050
2/28/1994	0.7135	0.7128	4.711	74.047	70637.000	78.715	1136.3	69.8457	3.250
3/31/1994	0.7045	0.7039	4.722	74.196	72201.000	79.080	1140.3	70.509	3.340
4/29/1994	0.7155	0.7150	4.689	74.424	72337.000	79.048	1141.1	69.7197	3.560
5/31/1994	0.7371	0.7369	4.673	74.596	72005.000	79.299	1143.3	70.1228	4.010
6/30/1994	0.7285	0.7281	4.682	74.760	73458.000	79.585	1145.1	72.5495	4.250
7/29/1994	0.7395	0.7392	4.659	74.887	74682.000	80.085	1150.5	69.7617	4.260
8/31/1994	0.7429	0.7424	5.005	75.058	74535.000	80.308	1150.6	73.0953	4.470
9/30/1994	0.7402	0.7397	5.442	75.244	74890.000	80.431	1151.9	73.6243	4.730
10/31/1994	0.7426	0.7416	5.710	75.366	76221.000	80.422	1150.1	73.4899	4.760
11/30/1994	0.7688	0.7681	6.428	75.642	76474.000	80.374	1151	72.9945	5.290
12/30/1994	0.7754	0.7743	6.961	75.992	78761.000	80.253	1150.7	73.2632	5.450
