Date	Spot 	Forward	i_rates	CPI	M1	IP	M1us	IPus	i_us
12/30/1988	1.8110	1.8027	13.000	57.455	358.233	88.298	786.7	63.7411	8.760
1/31/1989	1.7520	1.7479	12.750	57.820	360.121	89.745	785.7	64.5388	9.120
2/28/1989	1.7434	1.7391	11.000	58.237	362.272	90.365	783.8	64.8579	9.360
3/31/1989	1.6855	1.6819	12.750	58.497	372.978	98.947	783	64.4632	9.850
4/28/1989	1.6900	1.6858	12.630	59.539	375.367	89.228	779.2	64.5304	9.840
5/31/1989	1.5700	1.5642	13.880	59.904	382.164	89.952	775	63.5312	9.810
6/30/1989	1.5500	1.5439	13.880	60.112	392.145	89.745	773.5	65.1938	9.530
7/31/1989	1.6660	1.6583	13.690	60.164	396.248	83.231	777.8	62.1793	9.240
8/31/1989	1.5680	1.5617	13.940	60.320	402.168	84.265	779.4	64.8831	8.990
9/29/1989	1.6205	1.6138	13.500	60.737	410.154	91.193	781	65.0006	9.020
10/31/1989	1.5810	1.5723	15.060	61.206	412.602	96.259	786.6	64.5892	8.840
11/30/1989	1.5705	1.5628	15.000	61.727	416.558	98.947	788	63.8335	8.550
12/29/1989	1.6125	1.6031	14.630	61.883	426.322	88.608	792.9	63.9342	8.450
1/31/1990	1.6780	1.6695	14.630	62.248	429.443	91.296	795.4	64.0182	8.230
2/28/1990	1.6775	1.6677	14.940	62.612	432.445	89.745	798.1	64.9754	8.240
3/30/1990	1.6480	1.6384	14.750	63.237	442.516	101.635	801.6	65.2022	8.280
4/30/1990	1.6420	1.6322	14.940	65.165	444.652	88.298	806.2	63.8502	8.260
5/31/1990	1.6780	1.6685	15.130	65.738	449.986	91.606	804.3	64.396	8.180
6/29/1990	1.7490	1.7394	15.060	65.998	460.339	90.676	808.9	66.3022	8.290
7/31/1990	1.8635	1.8522	15.000	66.050	460.134	84.782	810.1	63.9846	8.150
8/31/1990	1.8950	1.8844	15.000	66.727	463.612	83.748	815.6	66.1258	8.130
9/28/1990	1.8788	1.8686	14.880	67.353	469.845	88.194	820.1	66.6296	8.200
10/31/1990	1.9435	1.9341	14.000	67.873	469.964	97.293	819.8	65.7312	8.110
11/30/1990	1.9435	1.9338	14.310	67.717	474.792	96.672	822.1	64.0266	7.810
12/31/1990	1.9300	1.9192	14.130	67.665	477.138	86.747	824.7	63.0861	7.310
1/31/1991	1.9670	1.9564	14.000	67.821	477.025	90.365	827.2	63.464	6.910
2/28/1991	1.9130	1.9031	13.250	68.186	478.17	88.918	832.7	63.2793	6.250
3/29/1991	1.7510	1.7421	12.750	68.446	485.691	94.294	838.7	62.4983	6.120
4/30/1991	1.7260	1.7174	11.940	69.332	487.882	86.850	843.2	62.5487	5.910
5/31/1991	1.6980	1.6903	11.310	69.540	491.436	87.160	848.8	62.8342	5.780
6/28/1991	1.6220	1.6147	11.630	69.853	496.311	84.369	856.7	65.135	5.900
7/31/1991	1.6870	1.6796	11.000	69.697	494.629	83.955	861.5	62.8678	5.820
8/30/1991	1.6815	1.6743	10.880	69.853	495.502	78.268	866.7	65.1434	5.660
9/30/1991	1.7510	1.7436	10.880	70.113	500.736	86.230	870.2	65.7899	5.450
10/31/1991	1.7392	1.7324	10.500	70.374	498.203	94.398	878	65.3113	5.210
11/29/1991	1.7679	1.7593	10.690	70.634	500.291	92.743	887.6	64.1693	4.810
12/31/1991	1.8707	1.8605	10.130	70.686	504.133	86.850	897	63.338	4.430
1/31/1992	1.7875	1.7783	10.630	70.634	502.697	87.574	910.4	63.6907	4.030
2/28/1992	1.7577	1.7491	11.250	70.999	504.362	88.401	925.3	64.6815	4.060
3/31/1992	1.7363	1.7272	9.880	71.207	510.186	97.086	936.7	65.1854	3.980
4/30/1992	1.7769	1.7665	10.750	72.301	512.339	86.953	943.8	64.4632	3.730
5/29/1992	1.8297	1.8206	9.630	72.562	513.941	82.508	950.5	64.9083	3.820
6/30/1992	1.9050	1.8947	10.380	72.562	517.411	87.470	954.3	66.5289	3.760
7/31/1992	1.9275	1.9165	9.500	72.301	518.6	84.472	963.2	64.5808	3.250
8/31/1992	1.9884	1.9770	9.130	72.353	518.043	77.545	973.7	66.8899	3.300
9/30/1992	1.7773	1.7674	9.250	72.614	521.215	89.435	988.1	67.0075	3.220
10/30/1992	1.5585	1.5519	8.750	72.874	522.497	94.501	1003.8	67.3014	3.100
11/30/1992	1.5171	1.5117	7.500	72.770	519.196	93.260	1015.7	66.6716	3.090
12/31/1992	1.5105	1.5058	5.750	72.509	517.883	89.745	1024.9	66.2602	2.920
1/29/1993	1.4861	1.4822	6.250	71.832	514.11	85.403	1030.4	66.806	3.020
2/26/1993	1.4255	1.4217	6.500	72.301	515.943	88.711	1033.5	67.5533	3.030
3/31/1993	1.5145	1.5106	5.500	72.562	523.757	100.705	1038.5	67.6876	3.070
4/30/1993	1.5740	1.5700	5.380	73.239	524.906	88.194	1047.6	66.6128	2.960
5/31/1993	1.5630	1.5596	5.000	73.499	527.697	86.850	1065.9	66.5457	3.000
6/30/1993	1.4912	1.4876	6.500	73.447	529.014	88.298	1075.1	68.4098	3.040
7/30/1993	1.4825	1.4791	5.880	73.291	530.719	84.575	1084.5	66.3189	3.060
8/31/1993	1.4925	1.4890	6.000	73.603	530.962	81.163	1094.2	68.7373	3.030
9/30/1993	1.4960	1.4923	7.750	73.916	533.672	92.020	1104.2	69.1907	3.090
10/29/1993	1.4800	1.4766	5.500	73.864	536.703	93.674	1113	69.1823	2.990
11/30/1993	1.4858	1.4834	5.380	73.760	538.138	99.774	1124.2	68.6029	3.020
12/31/1993	1.4775	1.4747	5.250	73.916	544.055	92.537	1129.6	68.4602	2.960
1/31/1994	1.5069	1.5039	5.380	73.603	542.64	89.228	1131.6	69.3166	3.050
2/28/1994	1.4855	1.4834	4.750	74.020	545.126	92.123	1136.3	69.8457	3.250
3/31/1994	1.4840	1.4821	4.500	74.228	554.948	104.944	1140.3	70.509	3.340
4/29/1994	1.5185	1.5170	4.380	75.114	555.553	91.813	1141.1	69.7197	3.560
5/31/1994	1.5113	1.5106	4.630	75.374	556.209	93.571	1143.3	70.1228	4.010
6/30/1994	1.5443	1.5437	5.250	75.374	558.024	94.191	1145.1	72.5495	4.250
7/29/1994	1.5440	1.5432	4.880	75.010	557.068	87.574	1150.5	69.7617	4.260
8/31/1994	1.5340	1.5333	4.880	75.374	557.482	89.021	1150.6	73.0953	4.470
9/30/1994	1.5775	1.5770	5.000	75.531	560.906	97.810	1151.9	73.6243	4.730
10/31/1994	1.6355	1.6348	5.500	75.635	559.477	98.947	1150.1	73.4899	4.760
11/30/1994	1.5645	1.5650	4.630	75.687	563.747	104.013	1151	72.9945	5.290
12/30/1994	1.5648	1.5649	4.750	76.052	567.157	95.845	1150.7	73.2632	5.450
1/31/1995	1.5795	1.5788	4.380	76.052	564.864	94.200	1151.4	73.7161	5.530
2/28/1995	1.5839	1.5835	5.250	76.520	569.619	96.000	1147.4	74.4441	5.920
3/31/1995	1.6215	1.6212	5.750	76.833	583.647	108.500	1146.7	74.9201	5.980
4/28/1995	1.6125	1.6117	5.250	77.614	583.593	92.100	1149.3	72.9601	6.050
5/31/1995	1.5863	1.5860	6.630	77.927	589.225	96.500	1145.4	73.5668	6.010
6/30/1995	1.5955	1.5947	6.000	78.031	595.309	95.700	1144.2	76.1522	6.000
7/31/1995	1.5970	1.5957	6.750	77.666	601.851	89.900	1145.4	72.9508	5.850
8/31/1995	1.5496	1.5486	6.130	78.083	603.945	90.600	1145.5	76.7402	5.740
9/29/1995	1.5848	1.5838	6.690	78.448	606.183	96.200	1142	77.4402	5.800
10/31/1995	1.5798	1.5787	6.750	78.031	608.574	101.300	1137.3	76.3762	5.760
11/30/1995	1.5336	1.5326	7.000	78.031	616.189	104.500	1134.1	75.7788	5.800
12/29/1995	1.5496	1.5485	6.380	78.500	623.385	94.100	1127.4	75.6295	5.600
1/31/1996	1.5137	1.5125	6.190	78.239	625.273	98.000	1123.5	75.1068	5.560
2/29/1996	1.5319	1.5307	6.250	78.604	627.175	101.200	1118.5	76.8709	5.220
3/29/1996	1.5270	1.5263	5.940	78.917	640.047	106.900	1122.5	77.2162	5.310
4/30/1996	1.5065	1.5057	6.310	79.490	640.485	96.200	1124.8	76.1708	5.220
5/31/1996	1.5511	1.5503	6.130	79.646	646.691	98.000	1116.5	76.7775	5.240
6/28/1996	1.5527	1.5523	5.560	79.698	654.01	93.300	1115.2	79.9602	5.270
7/31/1996	1.5566	1.5561	5.750	79.385	655.463	94.600	1112.4	76.6002	5.400
8/30/1996	1.5647	1.5643	5.690	79.750	660.549	89.600	1101.6	80.2683	5.220
9/30/1996	1.5653	1.5648	5.940	80.115	666.483	97.400	1096.1	81.3509	5.300
10/31/1996	1.6271	1.6261	6.000	80.115	672.162	105.800	1086.1	80.3336	5.240
11/29/1996	1.6821	1.6813	5.750	80.167	683.166	104.200	1083.6	80.1656	5.310
12/31/1996	1.7140	1.7129	6.000	80.427	682.786	97.200	1081.6	79.9602	5.290
1/31/1997	1.6024	1.6015	6.130	80.427	686.547	100.600	1081.5	80.1701	5.250
2/28/1997	1.6286	1.6277	5.880	80.740	696.89	98.600	1078.8	81.7342	5.190
3/31/1997	1.6374	1.6369	6.000	80.948	711.327	105.800	1071.8	82.6895	5.390
4/30/1997	1.6236	1.6227	5.880	81.417	705.241	99.700	1063.8	81.8917	5.510
5/30/1997	1.6387	1.6376	6.190	81.729	719.259	97.600	1064	81.9756	5.500
6/30/1997	1.6656	1.6642	6.630	82.042	728.24	97.100	1065.7	84.4846	5.560
7/31/1997	1.6408	1.6389	6.880	82.042	733.359	98.800	1066.2	81.2408	5.520
8/29/1997	1.6153	1.6133	7.000	82.563	737.7	89.000	1074.3	85.7758	5.540
9/30/1997	1.6156	1.6136	7.060	82.980	705.833	101.900	1067.7	87.2454	5.540
10/31/1997	1.6727	1.6705	7.190	83.084	708.252	107.400	1065.5	87.13	5.500
11/28/1997	1.6890	1.6868	7.190	83.136	717.673	102.800	1070	87.3924	5.520
12/31/1997	1.6452	1.6427	7.310	83.344	722.127	99.300	1072.7	87.2769	5.500
1/30/1998	1.6320	1.6297	7.440	83.084	720.862	97.400	1074.4	86.941	5.560
2/27/1998	1.6430	1.6404	7.310	83.501	730.52	98.600	1077.9	88.0433	5.510
3/31/1998	1.6725	1.6698	7.500	83.761	742.599	112.200	1077.5	88.8516	5.490
4/30/1998	1.6711	1.6686	7.380	84.699	741.862	102.000	1076.1	86.7835	5.450
5/29/1998	1.6310	1.6286	7.190	85.167	748.98	96.800	1078.4	88.0747	5.490
6/30/1998	1.6679	1.6651	7.500	85.115	757.046	101.800	1077	89.5444	5.560
7/31/1998	1.6326	1.6298	7.440	84.907	766.833	99.000	1075	86.3111	5.540
8/31/1998	1.6798	1.6771	7.060	85.272	761.417	88.900	1074.8	91.0246	5.550
9/30/1998	1.6989	1.6961	7.440	85.636	768.779	100.800	1080.2	90.7621	5.510
10/30/1998	1.6755	1.6727	7.250	85.688	771.386	103.100	1086	91.2975	5.070
11/30/1998	1.6477	1.6456	6.880	85.636	779.849	102.200	1094.5	90.2897	4.830
12/31/1998	1.6600	1.6584	6.130	85.636	783.353	97.700	1095.8	90.1218	4.680
1/29/1999	1.6449	1.6437	6.130	85.115	777.257	96.300	1097.8	90.2897	4.630
2/26/1999	1.6025	1.6016	5.750	85.272	785.741	98.000	1097	91.14	4.760
3/31/1999	1.6112	1.6107	5.880	85.480	793.023	113.000	1097.8	92.5677	4.810
4/30/1999	1.6095	1.6089	5.060	86.053	798.943	99.300	1101.9	90.6781	4.740
5/31/1999	1.6026	1.6021	5.250	86.261	803.972	96.800	1102.6	91.5704	4.740
6/30/1999	1.5778	1.5780	5.190	86.261	800.943	102.700	1099.7	93.9534	4.760
7/30/1999	1.6216	1.6217	5.250	86.001	796.996	100.100	1098.7	90.3632	4.990
8/31/1999	1.6038	1.6043	4.750	86.209	797.266	95.400	1099	94.6357	5.070
9/30/1999	1.6473	1.6474	5.250	86.574	793.825	107.000	1096.3	94.2473	5.220
10/29/1999	1.6448	1.6449	5.060	86.730	799.557	106.800	1102.3	95.1291	5.200
11/30/1999	1.5981	1.5990	5.630	86.834	805.837	111.900	1111.7	94.4888	5.420
12/31/1999	1.6182	1.6184	3.250	87.147	816.599	103.500	1122.6	94.7302	5.300
1/31/2000	1.6162	1.6161	6.250	86.782	802.218	98.100	1121.9	94.6462	5.450
2/29/2000	1.5792	1.5790	6.000	87.251	810.154	104.200	1109.4	95.4021	5.730
3/31/2000	1.5911	1.5914	5.750	87.720	836.297	116.300	1108.2	97.1447	5.850
4/28/2000	1.5513	1.5516	5.750	88.605	840.891	97.100	1113.4	95.6015	6.020
5/31/2000	1.5014	1.5022	6.060	88.918	847.578	104.100	1105.8	95.864	6.270
6/30/2000	1.5141	1.5150	5.500	89.126	856.28	105.800	1103.3	98.9397	6.530
7/31/2000	1.4997	1.5006	5.690	88.814	852.283	98.500	1103	94.4153	6.540
8/31/2000	1.4473	1.4480	5.690	88.814	867.233	98.900	1100.3	97.9005	6.500
9/29/2000	1.4754	1.4762	5.940	89.439	866.433	105.300	1099	98.4464	6.520
10/31/2000	1.4477	1.4485	5.880	89.387	874.644	109.500	1098.6	97.5016	6.510
11/30/2000	1.4251	1.4262	5.940	89.647	875.08	112.200	1092.3	96.4728	6.510
12/29/2000	1.4930	1.4940	4.750	89.699	884.873	100.900	1087.6	96.1579	6.400
1/31/2001	1.4646	1.4643	5.880	89.126	881.01	104.100	1097.6	95.1501	5.980
2/28/2001	1.4455	1.4451	5.690	89.595	885.596	100.800	1101.5	95.0346	5.490
3/30/2001	1.4161	1.4156	6.380	89.699	905.747	113.600	1109.8	95.8849	5.310
4/30/2001	1.4320	1.4308	5.130	90.168	905.664	99.200	1114.9	92.4942	4.800
5/31/2001	1.4184	1.4171	5.880	90.741	909.348	102.300	1119.5	93.1241	4.210
6/29/2001	1.4153	1.4138	4.940	90.845	921.501	101.000	1126.4	95.2446	3.970
7/31/2001	1.4252	1.4234	5.560	90.272	918.779	99.600	1139.6	90.9406	3.770
8/31/2001	1.4539	1.4524	4.310	90.637	930.304	97.700	1149.6	94.3523	3.650
9/28/2001	1.4744	1.4719	5.000	90.949	937.102	100.600	1203.9	93.6175	3.070
10/31/2001	1.4545	1.4522	3.880	90.793	942.397	108.600	1165.9	92.3997	2.490
11/30/2001	1.4241	1.4218	3.250	90.428	945.976	108.700	1171.5	90.8671	2.090
12/31/2001	1.4546	1.4519	5.000	90.324	942.597	96.900	1182.2	90.5942	1.820
1/31/2002	1.4108	1.4085	3.630	90.272	931.131	100.600	1190.4	91.182	1.730
2/28/2002	1.4174	1.4149	3.750	90.533	941.61	97.800	1190.7	91.5599	1.740
3/29/2002	1.4259	1.4234	3.310	90.897	955.213	105.200	1193.2	93.1031	1.730
4/30/2002	1.4580	1.4552	4.630	91.522	955.207	102.400	1185.8	92.1688	1.750
5/31/2002	1.4553	1.4525	4.060	91.783	959.185	103.300	1189.3	92.7462	1.750
6/28/2002	1.5335	1.5308	3.310	91.783	975.723	94.000	1192.2	96.4098	1.750
7/31/2002	1.5637	1.5610	4.500	91.627	970.882	100.300	1199.6	91.8224	1.730
8/30/2002	1.5505	1.5478	4.000	91.887	982.341	93.800	1185.9	95.9794	1.740
9/30/2002	1.5684	1.5655	3.380	92.512	989.429	101.400	1194.6	95.8325	1.750
10/31/2002	1.5651	1.5622	3.440	92.668	994.788	108.200	1203.8	94.6882	1.750
11/29/2002	1.5575	1.5541	3.940	92.825	1002.75	105.700	1209.4	93.649	1.340
