Date	Spot 	Forward	i_rates	CPI	M1	IP	M1us	IPus	i_us
12/30/1988	125.05	124.70	4.363	89.685	111.844	95.900	786.7	63.7411	8.760
1/31/1989	130.50	130.13	4.094	89.585	107.095	85.500	785.7	64.5388	9.120
2/28/1989	126.87	126.33	4.179	89.285	108.339	90.200	783.8	64.8579	9.360
3/31/1989	132.77	132.04	4.254	89.685	115.335	105.100	783	64.4632	9.850
4/28/1989	132.85	132.26	4.420	91.285	116.470	95.200	779.2	64.5304	9.840
5/31/1989	142.33	141.76	4.675	91.885	109.474	91.200	775	63.5312	9.810
6/30/1989	144.00	143.47	5.138	91.785	108.961	98.600	773.5	65.1938	9.530
7/31/1989	136.95	136.52	5.225	91.585	105.421	96.800	777.8	62.1793	9.240
8/31/1989	144.60	144.20	5.380	91.485	103.145	89.300	779.4	64.8831	8.990
9/29/1989	139.60	139.18	5.431	92.285	110.930	98.000	781	65.0006	9.020
10/31/1989	142.73	142.43	6.009	92.985	101.835	97.200	786.6	64.5892	8.840
11/30/1989	142.91	142.66	6.152	91.985	102.278	97.600	788	63.8335	8.550
12/29/1989	143.80	143.71	6.448	92.085	114.474	99.100	792.9	63.9342	8.450
1/31/1990	144.55	144.38	6.581	92.485	106.661	86.600	795.4	64.0182	8.230
2/28/1990	148.82	148.66	6.643	92.585	109.886	93.000	798.1	64.9754	8.240
3/30/1990	157.82	157.70	6.817	92.985	122.027	106.000	801.6	65.2022	8.280
4/30/1990	158.85	158.68	7.163	93.784	120.203	98.000	806.2	63.8502	8.260
5/31/1990	152.64	152.52	7.259	94.184	107.459	94.600	804.3	64.396	8.180
6/29/1990	152.35	152.25	7.365	93.884	118.165	101.100	808.9	66.3022	8.290
7/31/1990	146.13	146.08	7.524	93.684	108.620	103.000	810.1	63.9846	8.150
8/31/1990	143.93	143.96	7.543	94.084	106.160	93.200	815.6	66.1258	8.130
9/28/1990	138.27	138.27	7.763	94.784	114.857	102.300	820.1	66.6296	8.200
10/31/1990	129.95	129.95	7.811	95.784	105.239	104.600	819.8	65.7312	8.110
11/30/1990	133.10	133.12	8.077	95.684	107.068	103.200	822.1	64.0266	7.810
12/31/1990	135.75	135.82	8.230	95.584	119.628	104.200	824.7	63.0861	7.310
1/31/1991	131.45	131.56	8.054	96.184	108.647	92.700	827.2	63.464	6.910
2/28/1991	132.95	133.13	8.120	95.884	110.628	98.900	832.7	63.2793	6.250
3/29/1991	140.60	140.88	8.278	96.384	124.577	109.400	838.7	62.4983	6.120
4/30/1991	136.38	136.65	8.234	96.984	118.717	101.300	843.2	62.5487	5.910
5/31/1991	138.45	138.71	8.033	97.384	113.559	98.500	848.8	62.8342	5.780
6/28/1991	137.90	138.11	8.041	97.084	125.356	101.600	856.7	65.135	5.900
7/31/1991	137.42	137.60	7.461	96.984	115.361	105.600	861.5	62.8678	5.820
8/30/1991	136.85	137.07	7.484	97.184	119.059	92.900	866.7	65.1434	5.660
9/30/1991	132.85	133.03	7.049	97.284	117.786	102.900	870.2	65.7899	5.450
10/31/1991	130.60	130.73	6.858	98.384	117.098	102.700	878	65.3113	5.210
11/29/1991	130.08	130.28	6.383	98.584	124.182	102.300	887.6	64.1693	4.810
12/31/1991	124.90	125.02	6.310	98.084	131.044	101.600	897	63.338	4.430
1/31/1992	125.55	125.68	5.526	97.884	119.691	89.200	910.4	63.6907	4.030
2/28/1992	129.15	129.30	5.683	97.784	126.059	94.600	925.3	64.6815	4.060
3/31/1992	132.92	133.01	5.653	98.284	129.313	103.600	936.7	65.1854	3.980
4/30/1992	133.30	133.40	4.766	99.284	128.162	95.400	943.8	64.4632	3.730
5/29/1992	127.75	127.83	4.745	99.383	129.766	89.600	950.5	64.9083	3.820
6/30/1992	125.87	125.95	4.753	99.284	129.412	97.600	954.3	66.5289	3.760
7/31/1992	127.20	127.28	4.531	98.584	124.241	99.200	963.2	64.5808	3.250
8/31/1992	123.08	123.17	4.119	98.884	121.127	85.100	973.7	66.8899	3.300
9/30/1992	120.07	120.17	4.227	99.284	124.309	98.800	988.1	67.0075	3.220
10/30/1992	123.45	123.52	4.074	99.383	125.269	96.100	1003.8	67.3014	3.100
11/30/1992	124.75	124.72	3.946	99.184	124.659	93.600	1015.7	66.6716	3.090
12/31/1992	124.86	124.93	3.895	99.184	136.138	93.600	1024.9	66.2602	2.920
1/29/1993	124.73	124.78	3.900	99.084	127.714	82.900	1030.4	66.806	3.020
2/26/1993	118.25	118.28	3.276	99.184	129.665	90.700	1033.5	67.5533	3.030
3/31/1993	114.88	114.90	3.242	99.483	135.725	103.400	1038.5	67.6876	3.070
4/30/1993	111.05	111.06	3.179	100.183	133.386	91.900	1047.6	66.6128	2.960
5/31/1993	107.08	107.09	3.207	100.283	128.212	85.900	1065.9	66.5457	3.000
6/30/1993	107.30	107.31	3.214	100.183	133.831	93.700	1075.1	68.4098	3.040
7/30/1993	105.10	105.11	3.263	100.483	132.779	95.100	1084.5	66.3189	3.060
8/31/1993	104.75	104.73	3.129	100.683	125.603	83.000	1094.2	68.7373	3.030
9/30/1993	106.30	106.24	2.858	100.783	129.863	94.900	1104.2	69.1907	3.090
